ISO3,COUNTRY_NAME,GLOBIOM_COUNTRY
AFG,Afghanistan,Afghanistan
ALA,Aland Islands,NotAccounted
ALB,Albania,Albania
DZA,Algeria,Algeria
ASM,American Samoa,NotAccounted
AND,Andorra,NotAccounted
AGO,Angola,Angola
AIA,Anguilla,NotAccounted
ATA,Antarctica,NotAccounted
ATG,Antigua and Barbuda,NotAccounted
ARG,Argentina,Argentina
ARM,Armenia,Armenia
ABW,Aruba,NotAccounted
AUS,Australia,Australia
AUT,Austria,Austria
AZE,Azerbaijan,Azerbaijan
BHS,Bahamas,Bahamas
BHR,Bahrain,Bahrain
BGD,Bangladesh,Bangladesh
BRB,Barbados,NotAccounted
BLR,Belarus,Belarus
BEL,Belgium,Belgium
BLZ,Belize,Belize
BEN,Benin,Benin
BMU,Bermuda,NotAccounted
BTN,Bhutan,Bhutan
BOL,"Bolivia, Plurinational State of",Bolivia
BES,"Bonaire, Sint Eustatius and Saba",NotAccounted
BIH,Bosnia and Herzegovina,BosniaHerzg
BWA,Botswana,Botswana
BVT,Bouvet Island,NotAccounted
BRA,Brazil,Brazil
IOT,British Indian Ocean Territory,NotAccounted
BRN,Brunei Darussalam,BruneiDarsm
BGR,Bulgaria,Bulgaria
BFA,Burkina Faso,BurkinaFaso
BDI,Burundi,Burundi
KHM,Cambodia,Cambodia
CMR,Cameroon,Cameroon
CAN,Canada,Canada
CPV,Cape Verde,CapeVerde
CYM,Cayman Islands,NotAccounted
CAF,Central African Republic,CentAfrRep
TCD,Chad,Chad
CHL,Chile,Chile
CHN,China,China
CXR,Christmas Island,NotAccounted
CCK,Cocos (Keeling) Islands,NotAccounted
COL,Colombia,Colombia
COM,Comoros,Comoros
COG,Congo,CongoRep
COD,"Congo, the Democratic Republic of the",CongoDemR
COK,Cook Islands,NotAccounted
CRI,Costa Rica,CostaRica
CIV,Cote d'Ivoire,CotedIvoire
HRV,Croatia,Croatia
CUB,Cuba,Cuba
CUW,Curacao,NotAccounted
CYP,Cyprus,Cyprus
CZE,Czech Republic,CzechRep
DNK,Denmark,Denmark
DJI,Djibouti,Djibouti
DMA,Dominica,NotAccounted
DOM,Dominican Republic,DominicanRp
ECU,Ecuador,Ecuador
EGY,Egypt,Egypt
SLV,El Salvador,ElSalvador
GNQ,Equatorial Guinea,EqGuinea
ERI,Eritrea,Eritrea
EST,Estonia,Estonia
ETH,Ethiopia,Ethiopia
FLK,Falkland Islands (Malvinas),FalklandIs
FRO,Faroe Islands,NotAccounted
FJI,Fiji,FijiIslands
FIN,Finland,Finland
FRA,France,France
GUF,French Guiana,FrGuiana
PYF,French Polynesia,FrPolynesia
ATF,French Southern Territories,NotAccounted
GAB,Gabon,Gabon
GMB,Gambia,Gambia
GEO,Georgia,Georgia
DEU,Germany,Germany
GHA,Ghana,Ghana
GIB,Gibraltar,NotAccounted
GRC,Greece,Greece
GRL,Greenland,Greenland
GRD,Grenada,NotAccounted
GLP,Guadeloupe,Guadeloupe
GUM,Guam,NotAccounted
GTM,Guatemala,Guatemala
GGY,Guernsey,NotAccounted
GIN,Guinea,Guinea
GNB,Guinea-Bissau,GuineaBissau
GUY,Guyana,Guyana
HTI,Haiti,Haiti
HMD,Heard Island and McDonald Islands,NotAccounted
VAT,Holy See (Vatican City State),NotAccounted
HND,Honduras,Honduras
HKG,Hong Kong,NotAccounted
HUN,Hungary,Hungary
ISL,Iceland,Iceland
IND,India,India
IDN,Indonesia,Indonesia
IRN,"Iran, Islamic Republic of",Iran
IRQ,Iraq,Iraq
IRL,Ireland,Ireland
IMN,Isle of Man,NotAccounted
ISR,Israel,Israel
ITA,Italy,Italy
JAM,Jamaica,Jamaica
JPN,Japan,Japan
JEY,Jersey,NotAccounted
JOR,Jordan,Jordan
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
KIR,Kiribati,NotAccounted
PRK,"Korea, Democratic People's Republic of",KoreaDPRp
KOR,"Korea, Republic of",KoreaRep
KWT,Kuwait,Kuwait
KGZ,Kyrgyzstan,Kyrgyzstan
LAO,Lao People's Democratic Republic,Laos
LVA,Latvia,Latvia
LBN,Lebanon,Lebanon
LSO,Lesotho,Lesotho
LBR,Liberia,Liberia
LBY,Libya,Libya
LIE,Liechtenstein,NotAccounted
LTU,Lithuania,Lithuania
LUX,Luxembourg,Luxembourg
MAC,Macao,NotAccounted
MKD,"Macedonia, the former Yugoslav Republic of",Macedonia
MDG,Madagascar,Madagascar
MWI,Malawi,Malawi
MYS,Malaysia,Malaysia
MDV,Maldives,NotAccounted
MLI,Mali,Mali
MLT,Malta,Malta
MHL,Marshall Islands,NotAccounted
MTQ,Martinique,NotAccounted
MRT,Mauritania,Mauritania
MUS,Mauritius,Mauritius
MYT,Mayotte,NotAccounted
MEX,Mexico,Mexico
FSM,"Micronesia, Federated States of",NotAccounted
MDA,"Moldova, Republic of",MoldovaRep
MCO,Monaco,NotAccounted
MNG,Mongolia,Mongolia
MNE,Montenegro,Serbia-Monte
MSR,Montserrat,NotAccounted
MAR,Morocco,Morocco
MOZ,Mozambique,Mozambique
MMR,Myanmar,Myanmar
NAM,Namibia,Namibia
NRU,Nauru,NotAccounted
NPL,Nepal,Nepal
NLD,Netherlands,Netherlands
ANT,Netherlands Antilles,NotAccounted
NCL,New Caledonia,NewCaledonia
NZL,New Zealand,NewZealand
NIC,Nicaragua,Nicaragua
NER,Niger,Niger
NGA,Nigeria,Nigeria
NIU,Niue,NotAccounted
NFK,Norfolk Island,NotAccounted
MNP,Northern Mariana Islands,NotAccounted
NOR,Norway,Norway
OMN,Oman,Oman
PAK,Pakistan,Pakistan
PLW,Palau,NotAccounted
PSE,"Palestinian Territory, Occupied",Palestin
PAN,Panama,Panama
PNG,Papua New Guinea,PapuaNGuin
PRY,Paraguay,Paraguay
PER,Peru,Peru
PHL,Philippines,Philippines
PCN,Pitcairn,NotAccounted
POL,Poland,Poland
PRT,Portugal,Portugal
PRI,Puerto Rico,PuertoRico
QAT,Qatar,Qatar
REU,Reunion,Reunion
ROU,Romania,Romania
RUS,Russian Federation,RussianFed
RWA,Rwanda,Rwanda
BLM,Saint Barth�lemy,NotAccounted
SHN,"Saint Helena, Ascension and Tristan da Cunha",NotAccounted
KNA,Saint Kitts and Nevis,NotAccounted
LCA,Saint Lucia,NotAccounted
MAF,Saint Martin (French part),NotAccounted
SPM,Saint Pierre and Miquelon,NotAccounted
VCT,Saint Vincent and the Grenadines,NotAccounted
WSM,Samoa,Samoa
SMR,San Marino,NotAccounted
STP,Sao Tome and Principe,NotAccounted
SAU,Saudi Arabia,SaudiArabia
SEN,Senegal,Senegal
SRB,Serbia,Serbia-Monte
SYC,Seychelles,NotAccounted
SLE,Sierra Leone,SierraLeone
SGP,Singapore,Singapore
SXM,Sint Maarten (Dutch part),NotAccounted
SVK,Slovakia,Slovakia
SVN,Slovenia,Slovenia
SLB,Solomon Islands,SolomonIs
SOM,Somalia,Somalia
ZAF,South Africa,SouthAfrica
SGS,South Georgia and the South Sandwich Islands,NotAccounted
SSD,South Sudan,NotAccounted
ESP,Spain,Spain
LKA,Sri Lanka,SriLanka
SDN,Sudan,Sudan
SUR,Suriname,Suriname
SJM,Svalbard and Jan Mayen,NotAccounted
SWZ,Swaziland,Swaziland
SWE,Sweden,Sweden
CHE,Switzerland,Switzerland
SYR,Syrian Arab Republic,Syria
TWN,"Taiwan, Province of China",NotAccounted
TJK,Tajikistan,Tajikistan
TZA,"Tanzania, United Republic of",Tanzania
THA,Thailand,Thailand
TLS,Timor-Leste,TimorLeste
TGO,Togo,Togo
TKL,Tokelau,NotAccounted
TON,Tonga,NotAccounted
TTO,Trinidad and Tobago,TrinidadTob
TUN,Tunisia,Tunisia
TUR,Turkey,Turkey
TKM,Turkmenistan,Turkmenistan
TCA,Turks and Caicos Islands,NotAccounted
TUV,Tuvalu,NotAccounted
UGA,Uganda,Uganda
UKR,Ukraine,Ukraine
ARE,United Arab Emirates,UntdArabEm
GBR,United Kingdom,UK
USA,United States,USA
UMI,United States Minor Outlying Islands,NotAccounted
URY,Uruguay,Uruguay
UZB,Uzbekistan,Uzbekistan
VUT,Vanuatu,Vanuatu
VEN,"Venezuela, Bolivarian Republic of",Venezuela
VNM,Viet Nam,VietNam
VGB,"Virgin Islands, British",NotAccounted
VIR,"Virgin Islands, U.S.",NotAccounted
WLF,Wallis and Futuna,NotAccounted
ESH,Western Sahara,WestSahara
YEM,Yemen,Yemen
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
